Scaptotrigona check;nigrohirta (Moure);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);nomen nudem (Bold);larva pupa pollen honey
Scaptotrigona;pectoralis (Dalla Torre);Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa honey
Scaptotrigona;polystica (Moure);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larav pupa honey
Scaptotrigona;postica (Latreille);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;honey
Scaptotrigona;tubiba (Smith);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;honey
Scaptotrigona;xanthotricha (Moure);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);syn Nannotrigona;larva pupa honey
Scaptotrigona sp.;;Apidae;Hym;;Neotrop;Brazil (Ramos & Pino Moreno 2002);;egg larva pupa honey
Schwarziana;quadripunctata (Lep.);Apidae;Hym;;Neotrop;Argentine (Zamudio & Hilgert 2012);M ?;honey
Tetragona;dorsalis (Smith);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey
Tetragona;clavipes (F.);Apidae;Hym;;Neotrop;"Colombia (DeFoliart 2002) Brazil (Costa Neto & Ramos) Argentine
(Zamudio & Hilgert 2012) Venezuela";"syn Trigona clavipes (F.) M
?";honey
Tetragonisca;angustula (Latr.);Apidae;Hym;;Neotrop;"Brazil (DeFoliart 2002, Costa Neto & Ramos 2006, Trigona) Ecuador
(Onore 2005)";;larva pupa honey
Tetragonisca;fiebrigi (Schwarz);Apidae;Hym;;Neotrop;"Argentine (Zamudio & Hilgert 2012,
Loiácono et al 2016)";M ?;larva honey
Trigona;branneri Cockerell;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey
Trigona;chanchamayoensis Schwarz;Apidae;Hym;;Neotrop;Brazil (DeFoliart 2002, Costa Neto & Ramos 2006);;larva pupa honey
Trigona;cilipes F.;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey pollen
Trigona syn;clavipes (F.);Apidae;Hym;;Neotrop;"Colombia (DeFoliart 2002) Brazil
(Costa Neto & Ramos)";see Tetragone clavipes (F.);larva honey
Trigona;dallatorreana Friese;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey pollen
Trigona;flaveola Cock.;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;honey
Trigona;fulviventris Guérin-M.;Apidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno 2002) Brazil (Ramos, Costa Neto et
al 2009)";;egg larva pupa honey
Trigona;fuscipennis Friese;Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa honey
Trigona syn;geniculata Ill.;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see Nannotrichona testaceicornis (Lep.);honey
Trigona syn;ghilianii (Spinola);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see Duckeola;larva pupa honey pollen
Trigona;hyalinata (Lepeletier);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Rames 2006);syn Trigona muscaria, Melipona atratula;honey
Trigona;hypogea Silvestri;Apidae;Hym;vulture bee;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey pollen
Trigona;jaty Smith;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;"egg larva
pupa"
Trigona check;leucogaster Cockerell;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey pollen
Trigona syn;mombuca Smith;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see Geotrigona mombuca;honey
Trigona;muscaria G. syn ?;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see Trigona spinipes or hyalinata (Lep.);honey
Trigona;nigra nigra Cresson;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;"egg larva
pupa"
Trigona;recursa Smith;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;honey
Trigona syn;silvestrii Friese;Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see Friseomelitta;honey
Trigona;spinipes (F.);Apidae;Hym;;Neotrop;"Brazil (DeFoliart 2002), Argentine
(Zamudio & Hilgert 2012)";;larva pupa
Trigona;trinidadensis (Prov.);Apidae;Hym;;Neotrop;"Colombia Venezuela (Ruddle 1973,
DeFoliart 2002)";;larva pupa
Trigona sp.;;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;"egg larva
pupa"
Trigonisca;pipioli Ayala;Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa honey
Trigonisca;schultessi (Friese);Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa honey
Trigonisca sp.;;Apidae;Hym;;Neotrop;Mexico (Reyer-González et al 2014);;honey
Xylocopa;ordinaria Smith;Apidae;Hym;;Neotrop;Argentina (Loiácono et al 2016);;pollen
Xylocopa sp.;;Apidae;Hym;carpenter bee;Neotrop;Mexico (DeFoliart 2002);;larval food
Neodiprion;gillettei (Rohwer);Diprionidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;prepupa
Acromyrmex;octospinosus (Reich);Formicidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;repr. adult
Acromyrmex;rugosus (Smith);Formicidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;repr. adult
Atta;bisphaerica Forel syn;Formicidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);"Subsp. opacipes Borgmeier see also A.
sexdens";adult winged adult
Atta;capiguara Goncalves;Formicidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;adult
Atta;cephalotes (L.);Formicidae;Hym;;Neotrop;"Brazil Colombia Guyana Honduras Nicaragua Mexico (Dufour 1987, DeFoliart 2002, Costa Neto & Ramos 2006) Ecuador (Onore 2005)
Venezuela (Araujo & Beserra 2007)";;alate female soldier winged adults
Atta;laevigata (Smith);Formicidae;Hym;;Neotrop;Colombia (Dufour 1987, DeFoliart 2002, Costa Neto & Ramos 2006);;alate female soldier winged adults
Atta;mexicana (Smith);Formicidae;Hym;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;repr. adult
Atta;opaciceps Borgmeier syn;Formicidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see A. sexdens. Most prob. not opacipes Wheeler!;adult
Atta;sexdens (L.);Formicidae;Hym;;Neotrop;Brazil Colombia (Dufour 1987, DeFoliart 2002, Costa Neto & Ramos 2006) Ecuador (Onore 2005);see also var. bisphaerica Forel and subsp. opaciceps Borgm.;alate female soldier winged adults
Atta;texana Buckley;Formicidae;Hym;;Neotrop;Mexico (Katz 2016);;
Atta sp.;;Formicidae;Hym;;Neotrop;"Nicaragua (DeFoliart 2002),
Colombia (Ratcliffe 2006) Venezuela";;0
Camponotus;"maculatus dumetorum
Wheeler";Formicidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;adult
Camponotus sp.;;Formicidae;Hym;;Neotrop;Mexico (Ramos 2006, Ramos &;;adult
Cephalotes;atratus (L.);Formicidae;Hym;;Neotrop;Peru (Casas-Reategui et al 2016);;
Eciton;burchellii (Westwood);Formicidae;Hym;;Neotrop;Venezuela (Araújo & Beserra 2007);;adult
Eciton sp.;;Formicidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno;M;adult
Liometopum;apiculatum Mayr;Formicidae;Hym;;Neotrop;"Mexico (Ramos 2006, Ramos et al
1998 2007, DeFoliart 2002, Cerritos";;"egg larva
pupa"
Liometopum;"apiculatum luctuosum
Wheeler";Formicidae;Hym;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;"egg larva
pupa"
Myrmecocystus;melliger Forel;Formicidae;Hym;;Neotrop;"Mexico (Ramos 2006, Ramos et al
1998 2007, DeFoliart 2002, Cerritos";;adult
Myrmecocystus;mexicanus Wesmael;Formicidae;Hym;;Neotrop;Mexico (Ramos 2006, DeFoliart;;adult
Myrmecocystus sp.;;Formicidae;Hym;;Neotrop;"South America (DeFoliart 2002)
Mexico (Pino Moreno et al 2016)";;adult
Pogonomyrmex;barbatus (Smith);Formicidae;Hym;;Neotrop;Mexico (Ramos 2006, Ramos et al 1998);;larva pupa adult workers
Pogonomyrmex sp.;;Formicidae;Hym;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;larva pupa
Ammophila sp.;;Sphecidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;"immature
stages"
Dielocerus;formosus (Ohaus);Tenthredinidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;pupa
Agelaia;angulata (F.);Vespidae;Hym;;Neotrop;"Colombia (Dufour 1987, DeFoliart
2002)";"syn Stelopolybia angulata
(F.)";pupa
Agelaia;areata (Say);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);syn Stelopolybia areata (Say);egg larva pupa honey
Agelaia;baezae (Richards);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Agelaia;corneliana (Richards);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Agelaia;lobipleura (Richards);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Agelaia;ornata (Ducke);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Agelaia;pallipes (Olivier);Vespidae;Hym;;Neotrop;Peru (Casas-Reategui et al 2016);;
Agelaia;panamensis (Cameron);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);syn Stelopolybia panamensis (Cameron);egg larva pupa honey
Angiopolybia;paraensis (Spinola);Vespidae;Hym;;Neotrop;Ecuador (DeFoliart 2002);;adult
Angiopolybia sp.;;Vespidae;Hym;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Apoica;pallens (F.);Vespidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006) Ecuador (Onore 2005);;larva pupa adult
Apoica;pallida (Oliv.);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Apoica;strigata Richards;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Apoica;thoracica Buysson;Vespidae;Hym;;Neotrop;"Colombia (Dufour 1987, DeFoliart
2002) Venezuela (Araújo & Beserra";;larva pupa
Apoica sp.;;Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno;;
Brachygastra;azteca (Sauss.);Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2006, Ramos & Pino Moreno 2002)";M;immatures
Brachygastra;lecheguana (Latr.);Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos &
Pino Moreno 2002) Brazil (Costa Neto & Ramos 2006) Ecuador";M;immatures honey
Brachygastra;mellifica (Say);Vespidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;immatures
Brachygastra sp.;;Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa honey
Brachymenes;wagnerianus (Saussure);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Epipona;media Cooper;Vespidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);syn E. quadrituberculata sensu Richards;larva pupa
Epipona syn;"quadrimaculata (Gribodo)
sensu Richards";Vespidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);see E. media;larva pupa
Epipona sp.;;Vespidae;Hym;;Neotrop;"Mexico (Ramos 2009, Ramos et al
2008)";;adult larva
Eumenes sp.;;Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;larva pupa
Euodynerus sp.;;Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;larva pupa
Mischocyttarus;basimacula (Cameron);Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;"egg larva
pupa"
Mischocyttarus;cubensis (Saussure);Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;"egg larva
pupa"
Mischocyttarus;pallidipectus (Smith);Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;"egg larva
pupa"
Mischocyttarus;rotundicollis (Cameron);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Mischocyttarus;tomentosus Zikan;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Mischocyttarus sp.;;Vespidae;Hym;;Neotrop;"Colombia Mexico (Ramos et al 1998, DeFoliart 2002) Peru (Casas-
Reategui et al 2016)";;immatures adult workers
Montezumia;dimidiata Saussure;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Parachartegus;apicalis (F.);Vespidae;Hym;;Neotrop;Mexico (DeFoliart 2002);;immatures
Polistes;apicalis Saussure;Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno;;
Polistes;bicolor Lep.;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polistes;canadensis (L.);Vespidae;Hym;;Neotrop;"Mexico Combia Venezuela (Ruddle 1973, Ramos et al 1998, DeFoliart
2002)";M;egg larva pupa adult
Polistes;carnifex (F.);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa adult
Polistes;cavapita (Saussure);Vespidae;Hym;;Neotrop;Argentina (Loiácono et al 2016);;larva
Polistes;deceptor Schulz;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polistes;dorsalis (F.);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa adult
Polistes;erythrocephalus Latr.;Vespidae;Hym;;Neotrop;Colombia (DeFoliart 2002);P. canadensis erythrocephalus Latr.;larva
Polistes;instabilis Sauss.;Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos 2009, Ramos et al 1998, Ramos &
Pino Moreno 2002)";M;larva pupa adult
Polistes;kaibabensis Hayward;Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg larva pupa adult
Polistes;major Beauv.;Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2006, Ramos et al 1998, Ramos &";M;"egg larva
pupa"
Polistes;occipitalis Ducke;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polistes;pacificus F.;Vespidae;Hym;;Neotrop;"Colombia Venezuela (Ruddle 1973,
DeFoliart 2002)";syn P. modestus Smith;larva
Polistes;testaceicolor Bequart;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polistes;versicolor (Ol.);Vespidae;Hym;;Neotrop;"Colombia Venezuela (Ruddle 1973,
DeFoliart 2002) Argentina (Loiácono";;larva
Polistes sp.;;Vespidae;Hym;;Neotrop;Guatemala Mexico (Ramos et al 1998 2008, DeFoliart 2002);;adult larva pupa
Polistes syn;modestes Smith;Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);see P. pacificus;egg larva pupa adult
Polybia;aequatorialis Zavattari;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polybia;diguetana Buysson;Vespidae;Hym;;Neotrop;Mexico (DeFoliart 2002, Ramos et al 2008);;adult immatures
Polybia;dimidiata (Oliv.);Vespidae;Hym;;Neotrop;"Brazil (Costa Neto & Ramos 2006)
Ecuador (Onore 2005)";;larva pupa
Polybia;emaciata Lucas;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polybia;flavifrons Smith;Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Polybia;ignobilis (Haliday);Vespidae;Hym;;Neotrop;"Colombia Venezuela (Ruddle 1973,
DeFoliart 2002) Argentina (Loiácono";;larva
Polybia;micans Ducke;Vespidae;Hym;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Polybia;occidentalis (Oliv.);Vespidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006) Venezuela (Araúja & Beserra 2007);;honey larva pupa
Polybia;"occidentalis bohemani
Holmgren";Vespidae;Hym;;Neotrop;"Mexico (Ramos 2009, Ramos et al
1998, DeFoliart 2002)";;immatures
Polybia;occidentalis nigratella Buysson;Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos 2006, 2009, Ramos et al 1998 2007
2008, Ramos & Pino Moreno 2002)";M;adult immatures
Polybia;parvulina Richards;Vespidae;Hym;;Neotrop;"Mexico (DeFoliart 2002, Ramos &
Pino Moreno 2002)";M;"immatures
honey"
Polybia;rejecta (F.);Vespidae;Hym;;Neotrop;Colombia (Dufour 1987, DeFoliart;;pupa
Polybia;ruficeps (Schrottky);Vespidae;Hym;;Neotrop;Argentina (Loiácono et al 2016);P. rufipes = misspelling;larva
Polybia;sericea (Olivier);Vespidae;Hym;;Neotrop;Argentina (Loiácono et al 2016);;larva
Polybia;striata (F.);Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;"egg larva
pupa"
Polybia check;pygmaea (F.);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);M;egg larva pupa honey
Polybia sp.;;Vespidae;Hym;;Neotrop;Mexico (DeFoliart 2002, Ramos et al 1998, Ramos & Pino Moreno 2002));M;egg larva pupa adult workers
Pseudopolybia;vespiceps (Sauss.);Vespidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa
Stelopolybia syn;areata (Say);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);see Agelaia areata (Say);egg larva pupa honey
Stelopolybia syn;panamensis (Cameron);Vespidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);see Agelaia panamensis (Cameron);egg larva pupa honey
Stelopolybia sp. syn;;Vespidae;Hym;;Neotrop;Venezuela (Araújo & Beserra 2007);see Agelaia ?;larva
Synoeca;surinama (L.);Vespidae;Hym;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;larva pupa
Synoeca;virginea (F.);Vespidae;Hym;;Neotrop;Ecuador (Onore 2005);;adult
Vespula;squamosa (Drury);Vespidae;Hym;"southern
yellowjacket";Neotrop;"Mexico (DeFoliart 2002, Ramos &
Pino Moreno 2002)";M;"immatures
honey"
Vespula sp.;;Vespidae;Hym;;Neotrop;Mexico (Ramos et al 1998);;larva pupa adult
Kalotermes;flavicollis (F.) check;Kalotermitidae;Isopt;;Neotrop;Brazil (Costa Neto & Ramos 2006);not Neotropical;adult
Cornitermes sp.;;Termitidae;Isopt;;Neotrop;Brazil (DeFoliart 2002);;winged adult soldier queen
Labiotermes;labralis (Holmgren);Termitidae;Isopt;;Neotrop;Colombia (Paoletti et al 2001);;alate pupa
Macrotermes sp. check;;Termitidae;Isopt;;Neotrop;Colombia (DeFoliart 2002);not Neotropical;soldier
Nasutitermes;corniger (Motschulsky);Termitidae;Isopt;;Neotrop;Venezuela (Araújo & Beserra 2007);;adult
Nasutitermes;ephratae (Holmgren);Termitidae;Isopt;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Nasutitermes;macrocephalus (Silvestri);Termitidae;Isopt;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Nasutitermes;surinamensis (Holmgren);Termitidae;Isopt;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Syntermes;aculeosus Emerson;Termitidae;Isopt;;Neotrop;"Venezuela (Araújo & Beserra 2007)
Brazil (Figueirédo et al 2015)";;adult
Syntermes;parallelus Silvestri;Termitidae;Isopt;;Neotrop;Colombia (Dufour 1987, DeFoliart 2002);;soldier alate female
Syntermes;snyderi Emerson syn;Termitidae;Isopt;;Neotrop;Colombia (Dufour 1987, DeFoliart 2002);see Syntermes spinosus;soldier alate female
Syntermes;spinosus (Latr.);Termitidae;Isopt;;Neotrop;"Colombia (Dufour 1987, DeFoliart 2002) Brazil (Costa Neto & Ramos
2006) Venezuela (Figueirédo et al";syn S. snyderi Emerson;soldier alate female
Syntermes;tanygnathus Constantino;Termitidae;Isopt;;Neotrop;Colombia (Paoletti et al 2001);;soldier
Syntermes sp.;;Termitidae;Isopt;;Neotrop;"Brazil (Costa Neto & Ramos 2006)
Colombia (Ratkliffe 2006)";;adult
Termes;destructor DeGeer syn;Termitidae;Isopt;;Neotrop;Guyana (DeFoliart 2002);see Termes fatalis L.;
Termes;fatalis L.;Termitidae;Isopt;;Neotrop;Guyana (DeFoliart 2002);"syn Termes destructor
DeGeer";
Termes check;flavicolle Perty;Termitidae;Isopt;;Neotrop;Brazil (DeFoliart 2002);see Kalotermes flavicollis;adult
Isoptera gen.;;Termitidae;Isopt;;Neotrop;Mexico (DeFoliart 2002);;
Amastus;ochraceator (Walker);Arctiidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Elysius;superba (Druce);Arctiidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Estigmene;acrea (Drury);Arctiidae;Lep;salt marsh moth;Neotrop;Mexico (Ramos et al 2011);;adult
Pelochyta;cervina (Edwards);Arctiidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;adult
Bombyx;mori (L.);Bombycidae;Lep;silkworm moth;Neotrop;"Mexico (Ramos 2009, Ramos et al
2011)";;larva pupa
Castnia;daedalus Cramner syn;Castniidae;Lep;;Neotrop;Ecuador (Onore 2005);"see Eupalamides
cyparissias";larva
Castnia;licoides Boisduval;Castniidae;Lep;;Neotrop;Ecuador (Onore 2005);;larva
Castnia;licus Drury;Castniidae;Lep;;Neotrop;Ecuador (Onore 2005);;larva
Castnia;chelone Hopffer syn;Castniidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;
Eupalamides;cyparissias F.;Castniidae;Lep;;Neotrop;Ecuador (Onore 2005);"syn Castnia daedalus
Cramer";larva
Synpalamides;chelone (Hopffer);Castniidae;Lep;;Neotrop;Mexico (Ramos et al 2011);syn Castnia chelone;
Comadia;"redtenbacheri
(Hammerschmidt)";Cossidae;Lep;red tequila worm;Neotrop;"Mexico (Ramos 2006, Ramos et al
1998 2007 2011, DeFoliart 2002,";syn Xyleutes redt.;larva
Cossidae gen.;;Cossidae;Lep;;Neotrop;Venezuela (Araújo & Beserra 2007);;larva
Achlyodes;pallida (Felder);Geometridae;Lep;;Neotrop;Mexico (Ramos et al 2011);;
Acronyctodes;mexicaria (Walker) syn;Geometridae;Lep;;Neotrop;Mexico (Ramos et al 2007 2007;see Eois;larva
Eois;mexicaria (Walker);Geometridae;Lep;;Neotrop;"Mexico (Ramos et al 2007 2007
2011)";syn Acronyctes mexicaria;larva pupa
Panthera;pardalaria Hübner;Geometridae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Hepialidae gen.;;Hepialidae;Lep;ghost moths;Neotrop;Brazil (DeFoliart 2002, Costa Neto &;sp. on bamboo;larva
Hepialus sp.;;Hepialidae;Lep;;Neotrop;Ecuador (Onore 2005) Mexico;;larva
Phassus;triangularis Edwards;Hepialidae;Lep;;Neotrop;"Mexico (DeFoliart 2002, Ramos et al
1998 2011, Ramos & Pino Moreno";M;larva
Phassus;trajesa L. syn;Hepialidae;Lep;;Neotrop;"Mexico (DeFoliart 2002, Ramos et al
1998, Ramos & Pino Moreno 2002)";M see Schausiana trojesa;larva
Phassus sp.;;Hepialidae;Lep;;Neotrop;Mexico (DeFoliart 2002);;larva
Schausiana;trojesa (Schaus);Hepialidae;Lep;;Neotrop;Mexico (DeFoliart 2002, Ramos et al;;
Hesperiidae gen.;;Hesperiidae;Lep;skippers;Neotrop;Colombia (DeFoliart 2002);;
Aegiale;hesperiaris (Walker);Hesperiidae;Lep;"white tequila worm
Maguey worm";Neotrop;"Mexico (Ramos et al 1998 2011,
DeFoliart 2002, Cerritos 2009)";;larva
Metardaris;cosinga (Hewitson);Hesperiidae;Lep;huaytampu;Neotrop;Peru (Gade 1999);;larva
Eutachyptera;psidii (Sallé);Lasiocampidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Mimallonidae gen.;;Mimallonidae;Lep;sack-bearers;Neotrop;Colombia (DeFoliart 2002);syn Lacosomidae;larva
Morphinae gen.;;Morphidae;Lep;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Ascalapha;odorata (L.);Noctuidae;Lep;;Neotrop;"Mexico (DeFoliart 2002, Ramos et al
2011)";syn A. agarista (Cramer);larva pupa
Ascalapha;agarista (Cramer) syn;Noctuidae;Lep;;Neotrop;Mexico (Ramos et al 2011);see A. odorata;larva
Gerra;sevorsa (Grote);Noctuidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Helicoverpa;zea (Boddie);Noctuidae;Lep;bollworm;Neotrop;"Mexico (Ramos 2006, Ramos et al
1998 2011, DeFoliart 2002)";syn Heliothis zea;larva
Heliothis;zea (Boddie) syn;Noctuidae;Lep;bollworm;Neotrop;Mexico (DeFoliart 2002);see Helicoverpa;larva
Latebraria;amphipyroides Guenée;Noctuidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;M;larva
Mocis;punctularis Hübner;Noctuidae;Lep;;Neotrop;Colombia (DeFoliart 2002);syn M. repanda;larva
Mocis;repanda F. syn;Noctuidae;Lep;;Neotrop;Colombia Venezuela (Ruddle 1973,;see M. punctularis;larva
Noctuidae gen.;;Noctuidae;Lep;;Neotrop;Colombia Venezuela (DeFoliart;;larva
Spodoptera;exigua (Hübner);Noctuidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Spodoptera;frugiperda (Smith);Noctuidae;Lep;black armyworm;Neotrop;"Colombia Mexico (Ramos 2006,
Ramos et al 1998, DeFoliart 2002,";;larva
Spodoptera sp.;;Noctuidae;Lep;;Neotrop;Mexico (Ramos 2009, Ramos et al;;larva
Thysania;agrippina (Cramer);Noctuidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Notodontidae gen.;;Notodontidae;Lep;;Neotrop;Colombia (DeFoliart 2002);;larva
Anartia;fatima (F.);Nymphalidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Brassolis;astyra Godart;Nymphalidae;Lep;;Neotrop;Ecuador (Onore 2005);;larva
Brassolis;sophorae (L.);Nymphalidae;Lep;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Caligo;memnon Felder;Nymphalidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Chlosyne;lacinia (Geyer);Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Danaus;gilippus thersippus;Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Danaus;plexippus (L.);Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;adult
Hamadryas sp.;;Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva
Junonia;lavinia Cramer;Nymphalidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Morpho sp.;;Nymphalidae;Lep;;Neotrop;Mexico (Ramos & Pino Moreno;M;larva
Nymphalis;antiopia (L.);Nymphalidae;Lep;mourning cloak;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Panacea;prola Doubleday;Nymphalidae;Lep;;Neotrop;Ecuador (Onore 2005);;larva
Pareuptychia;metaleuca (Boiduval);Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;
Vanessa;annabella (Field);Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva pupa
Vanessa;virginiensis (Drury);Nymphalidae;Lep;;Neotrop;Mexico (Ramos et al 2011);;larva pupa
Papilio;multicaudata (Kirby);Papilionidae;Lep;"two tailed
swallowtail";Neotrop;Mexico (Ramos et al 2011);syn Pterourus;larva
