Camenta sp.;;"Scarabaeidae
Melolonthinae";Col;;Afr;Angola (DeFoliart 2002);;larva
Cetonia sp.;;"Scarabaeidae
Cetoniinae";Col;flower beetle;Afr;Central Africa (Bergier, 1941);;
Chondrorrhina;abbreviata F.;"Scarabaeidae
Cetoniinae";Col;flower beetle;Afr;Benin (Riggi et al 2013);;
Eulepida sp. syn;;"Scarabaeidae
Melolonthinae";Col;;Afr;Zimbabwe (Dube et al 2013);see Lepidiota;
Gnathocera;impressa (Olivier);"Scarabaeidae
Cetoniinae";Col;;Afr;Benin (Riggi et al 2013);;
Gnathocera;varians G. & P.;"Scarabaeidae
Cetoniinae";Col;flower beetle;Afr;Benin (Riggi et al 2013);;
Gnathocera sp.;;"Scarabaeidae
Cetoniinae";Col;;Afr;D.R. Congo (DeFoliart 2002);;larva
Goliathus;cacicus Ol.;"Scarabaeidae
Cetoniinae";Col;Goliath beetle;Afr;Central Africa (Bergier, 1941);;
Goliathus;regius Klug;"Scarabaeidae
Cetoniinae";Col;Goliath beetle;Afr;Central Africa (Bergier, 1941);;
Goliathus;cameronensis check;"Scarabaeidae
Cetoniinae";Col;Goliath beetle;Afr;Central Africa (Bergier, 1941);name not valid;
Goliathus;goliathus L.;"Scarabaeidae
Cetoniinae";Col;Goliath beetle;Afr;Central Africa (Bergier, 1941);;
Goliathus sp.;;"Scarabaeidae
Cetoniinae";Col;Goliath beetle;Afr;"D.R. Congo (DeFoliart 2002, Hoare
2007)";;larva
Heteroligus;meles (Billberger);"Scarabaeidae
Dynastinae";Col;Yam beetle;Afr;Nigeria (Agbidye et al 2009);;
Lepidiota;anatina Brenske;"Scarabaeidae
Melolonthinae";Col;;Afr;Zimbabwe (Chavanduka, 1976);syn Eulepida;adult
Lepidiota;mashona Arrow;"Scarabaeidae
Melolonthinae";Col;;Afr;"Zimbabwe (Chavanduka, 1976;
Gelfand, 1971; Weaving, 1973)";;adult
Lepidiota;nitidicollis Kolbe;"Scarabaeidae
Melolonthinae";Col;;Afr;Zimbabwe (Chavanduka, 1976);;adult
Mecynorrhina sp.;;"Scarabaeidae
Cetoniinae";Col;;Afr;CAR (Hoare 2007);;larva
Oryctes;boas (Fabr.);Scarabaeidae Dynastinae;Col;rhinoceros beetles;Afr;"Congo (Bani, 1995; Nkouka, 1987, Hoare 2007), Nigeria (Fasoranti & Ajiboye, 1993), South Africa (Bergier, 1941; Netolitzky, 1919);
D.R. Congo (DeFoliart 2002), Ivory";;larva
Oryctes;monoceros (Oliv.);"Scarabaeidae
Dynastinae";Col;rhinoceros beetles;Afr;"South Africa (Bergier, 1941;
Netolitzky, 1919)";;larva
Oryctes;nasicornis (Linn.);"Scarabaeidae
Dynastinae";Col;"European
rhinoceros beetle";Afr;Madagascar (Bergier, 1941);;
Oryctes;owariensis Beauvois;Scarabaeidae Dynastinae;Col;rhinoceros beetles;Afr;"Congo (Bani, 1995; Nkouka, 1987, Hoare 2007), South Africa (Bergier, 1941; Netolitzky, 1919); D.R. Congo
(DeFoliart 2002), Cameroun
(Womeni et al 2009), Ivory Coast,";"Oryctes owariensis Palisot
?";larva
Oryctes sp.;;"Scarabaeidae
Dynastinae";Col;rhinoceros beetles;Afr;"Benin (Tchibozo et al 2005) CAR,
Guiné (Tchibozo 2015)";;
Pachnoda;cordata (Drury);"Scarabaeidae
Cetoniinae";Col;;Afr;"Benin (Riggi et al 2013) Cameroun
(Tchibozo 2015)";;
Pachnoda;"marginata aurantia
(Herbst)";"Scarabaeidae
Cetoniinae";Col;;Afr;Cameroun (Tchibozo 2015);"see picture in Tchibozo
2015";
Pachnoda;vossi Kolbe;"Scarabaeidae
Cetoniinae";Col;flower beetle;Afr;Benin (Riggi et al 2013);;
Phyllophaga;"nebulosa Polihronakis
check!";"Scarabaeidae
Melolonthinae";Col;Grub;Afr;Ghana (Anankware et al 2016);"This is an Neotrpical
species";
Proagosternus sp.;;"Scarabaeidae
Rutelinae";Col;;Afr;Madagascar (Decary, 1937);;
Pachylomera;femoralis Kirby;"Scarabaeidea
Scarabaeina";Col;dung beetle;Afr;Zambia (Mbata, 1995);;
Platygenia;barbata Afzelius;"Scarabaeidea
Trichiinae";Col;;Afr;"D.R. Congo (Adriaens, 1951), CAR
(Hoare 2007)";;larva
Platygenia sp.;;"Scarabaeidea
Trichiinae";Col;;Afr;Africa (Ghesquière, 1947);;larva
Popillia;femoralis Klug;"Scarabaeidea
Rutelinae";Col;;Afr;Cameroun (Bodenheimer, 1951);;adult
Popillia ssp.;;"Scarabaeidea
Rutelinae";Col;;Afr;Cameroun (DeFoliart 2002);;adult
Rhabdotis;bouchardi Legrand;"Scarabaeidae
Cetoniinae";Col;;Afr;Benin (Riggi et al 2013);;
Tricholespis sp. check;;Scarabaeidae;Col;;Afr;Madagascar (Decary, 1937);"wrong spelling? Name not
valid";larva
Tenebrionidae gen.;;Tenebrionidae;Col;;Afr;Congo (Nkouka, 1987);xylophagus insects;
Blattidae gen.;;Blattidae;"Dictyopter
a";;Afr;"Cameroun (Bergier, 1941,
Seignobos et al 1996)";;adult
Tarachodes;saussurei Giglio-Tos;Tarachodidae;"Dictyopter
a";;Afr;Cameroun (Barreteau, 1999);;
Hoplocorypha;garuana Giglio-Tos;Thespidae;"Dictyopter
a";;Afr;Cameroun (Barreteau, 1999);;
Mantodea sp.;;;"Dictyopter
a";;Afr;Cameroun (Seignobos et al 1996);;adult
Chaoborus;edulis Edwards;Chaoboridae;Dipt;"lake flies phantom
midges";Afr;"East African lakes (Bergier, 1941;
Owen, 1973), Tanzania";;adult
Chaoborus;pallidipes Theob.;Chaoboridae;Dipt;"lake flies phantom
midges";Afr;Uganda (Bergier, 1941);;
